curriculo,porcentagem,count
testedqn_30102023_0943_epsod_6,"1,1,1,1,1",56
testedqn_30102023_0943_epsod_2,"1,1,1,1,1",56
testedqn_30102023_0943_epsod_8,"1,1,1,1,1",64
testedqn_30102023_0943_epsod_1,"1,1,1,1,1",60
testedqn_30102023_0943_epsod_0,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_5,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_3,"1,1,1,1,1",64
testedqn_30102023_0943_epsod_5,"1,1,1,1,1",60
testedqn_30102023_0943_epsod_1,"0,0,0,1,1",4
testedqn_30102023_0943_epsod_4,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_7,"1,1,1,1,1",48
testedqn_30102023_0943_epsod_0,"0,0,0,1,1",4
testedqn_30102023_0943_epsod_8,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_5,"0,0,0,1,1",4
testedqn_30102023_0943_epsod_1,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_3,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_9,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_9,"1,1,1,1,1",64
testedqn_30102023_0943_epsod_6,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_7,"1,1,1,0,0",4
testedqn_30102023_0943_epsod_0,"1,1,1,1,1",52
testedqn_30102023_0943_epsod_4,"1,1,1,1,1",64
