curriculo,porcentagem,count
testedqn0-0cenarios_08112023_1346_epsod_0,"1,1,1,1,1",10
testedqn0-0cenarios_08112023_1346_epsod_0,"0,0,0,1,1",64
testedqn0-0cenarios_08112023_1346_epsod_1,"1,1,1,1,1",3
testedqn0-0cenarios_08112023_1346_epsod_1,"0,0,0,1,1",63
testedqn0-0cenarios_08112023_1346_epsod_1,"1,1,1,0,0",8
testedqn0-0cenarios_08112023_1346_epsod_2,"1,1,1,1,1",8
testedqn0-0cenarios_08112023_1346_epsod_2,"1,1,1,0,0",11
testedqn0-0cenarios_08112023_1346_epsod_2,"0,0,0,1,1",55
testedqn0-0cenarios_08112023_1346_epsod_3,"0,0,0,1,1",64
testedqn0-0cenarios_08112023_1346_epsod_3,"1,1,1,0,0",10
testedqn0-0cenarios_08112023_1346_epsod_4,"1,1,1,0,0",7
testedqn0-0cenarios_08112023_1346_epsod_4,"0,0,0,1,1",67
testedqn0-0cenarios_08112023_1346_epsod_5,"0,0,0,1,1",70
testedqn0-0cenarios_08112023_1346_epsod_5,"1,1,1,0,0",4
testedqn0-0cenarios_08112023_1346_epsod_6,"1,1,1,0,0",8
testedqn0-0cenarios_08112023_1346_epsod_6,"1,1,1,1,1",4
testedqn0-0cenarios_08112023_1346_epsod_6,"0,0,0,1,1",62
testedqn0-0cenarios_08112023_1346_epsod_7,"1,1,1,0,0",15
testedqn0-0cenarios_08112023_1346_epsod_7,"1,1,1,1,1",6
testedqn0-0cenarios_08112023_1346_epsod_7,"0,0,0,1,1",53
testedqn0-0cenarios_08112023_1346_epsod_8,"1,1,1,0,0",4
testedqn0-0cenarios_08112023_1346_epsod_8,"0,0,0,1,1",27
